Institution_Name,Area,Other,Primary_Contact_Name,Primary_Contact_Phone_Number,Primary_Contact_Email,Mailing_Address,website,Secondary_Contact_Name,Secondary_Contact_Email,Social_Media_Handles,Zoom_Team_Link,Zoom_Teams_Link,Video_Link,special_needs_or_requests
Albany College of Pharmacy and Health Sciences [Biomedical Sciences Post Bac],"Clinical Laboratory Science,Pharmacy,Other (please specify):",Biomedical Sciences (Post Bac),Justin Hadley,5186947130,Justin.Hadley@acphs.edu,106 New Scotland Avenue,https://www.acphs.edu/,,,"Facebook/Twitter/Instagram - @acphsofficial

https://www.youtube.com/user/ACPHS1881

",Zoom or Teams Link (for your virtual tabling),https://acphs.zoom.us/j/99710197499?from=addon,See Justin's email from 1/26 lots of links,
"Baylor College of Medicine [Genetic Counseling, Biomedical Sciences Doctoral Programs, Orthotics and Prosthetics, Graduate Certificate in Biomedical Sciences and Health Equity]","Medicine,Physician Assistant,Other (please specify):","Genetic Counseling, Biomedical Sciences Doctoral Programs, Orthotics and Prosthetics, Graduate Certificate in Biomedical Sciences and Health Equity",Dr. Erik D. Malmberg,7137981546,malmberg@bcm.edu,"One Baylor Plaza, MS: BCM411, Office of Institutional Diversity, Equity and Inclusion",https://www.bcm.edu/,Ayesha Young,Ayesha.Young@bcm.edu,,,,,
Case Western Reserve University- Master of Science in Anesthesia Program,"Medicine,Other (please specify):",Anesthesiologist Assistant ,Ken Maloney,7135749465,khm34@case.edu ,"4203 Montrose Blvd. Suite 150, Houston, TX 77006",case.edu/medicine/msa-program,Teri Haskins,txh220@case.edu,"@CWRUmsaprogram, https://www.facebook.com/CWRUmsaprogram",,https://cwru.zoom.us/j/95119726577?pwd=bk4yOTdWR01qcG1uRU4vZy9laTF0QT09,,Zoom meeting passcode 749288
Department of Military Science Army ROTC ,"Clinical Laboratory Science,Dental,Medicine,Nursing,Optometry,Pharmacy,Physical Therapy,Physician Assistant,Other (please specify):",Most Healthcare Fields,George Hampton,806-496-5353,George.Hampton@ttu.edu,2508 15th Street Lubbock Texas 79409,Http://www.depts.ttu.edu/army ROTC/,Lisa Fredenthal,L.eli1986@yahoo.com,HTTPS://www.Facebook.com/TexasTechROTC,Zoom or Teams Link (for your virtual tabling),HTTPS://us02web.zoom.us/j/81028792583?pwd=MW5XWS91bHNFMXVHZ3NOeHIGenFBdz09,https://www.goarmy.com/amedd/education/hpsp.html,See many links in George's email 1/26
Joint Admission Medical Program (JAMP),Medicine,,Joel Robles,5124994352,jrobles@texasjamp.org,"P.O. Box 2175, Austin, Texas 78768",http://www.texasjamp.org,,,facebook.com/texasjamp;twitter.com/texasjamp,,https://us02web.zoom.us/j/81850040034,,
Parker University [Chiropractic],Other (please specify):,Doctor of Chiropractic / Sports Medicine,Marco Jimenez,4692032257,mjimenez@parker.edu,"2540 Walnut Hill Lane, Dallas, Tx 75229",https://www.parker.edu/marco,Marco Jimenez,mjimenez@parker.edu,"twitter.com/parkeruniv , facebook.com/ParkerUniversity , instagram.com/parkeruniversity , youtube.com/user/ParkerUniversity",,,,
"Rocky Mountain University of Health Professions [Health & Wellness Coaching, Counseling (Mental Health & School)]","Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences,Other (please specify):","Health & Wellness Coaching, Counseling (Mental Health & School),",Jeffrey Tolley,8017346851,jeff.tolley@rm.edu,122 E 1700 S Bldg C,www.rm.edu,,,,"Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://rmuohp.zoom.us/j/92746416481,https://www.youtube.com/watch?v=xgnU9AEa8L4&t=162s,
"School of Health Professions, University of Texas Medical Branch at Galveston [Respiratory Care and Nutrition and Metabolism]","Clinical Laboratory Science,Occupational Therapy,Physical Therapy,Other (please specify):",Respiratory Care and Nutrition and Metabolism,Michelle Conley,409-772-3006,maconley@utmb.edu,"UTMB School of Health Professions 301 University Blvd. Galveston, TX  77555-1136",https://shp.utmb.edu/,,,"Facebook https://www.facebook.com/SHPUTMB, Twitter @SHPUTMB. Instagram shputmb","Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://zoom.us/j/8072741972?pwd=aUFCQ3FwdHlOTEgvcmFLUW50QmRjZz09 ,Will send video after the holiday break., Zoom Meeting Info Meeting ID: 807 274 1972 Passcode: 722486
Simmons University [Nutrition and Health Promotion/Dietetic Internship],"Nursing,Physical Therapy,Other (please specify):",Nutrition and Health Promotion/Dietetic Internship,Brett DiMarzo,6175212651,brett.dimarzo@simmons.edu,"Simmons University, 300 The Fenway, Boston MA 02115",https://www.simmons.edu/,Alyssa Porydzy,alyssa.porydzy@simmons.edu,"https://www.facebook.com/SimmonsUniversity
@SimmonsUniv
https://www.youtube.com/simmonsuniversity
https://www.instagram.com/simmonsuniversity/
",,https://simmons.zoom.us/j/99579996191,https://www.youtube.com/watch?v=6kHEy16N_pw&list=PL9J_5cnIN2Z_yfo6SMOsrp4PPlBrBqkd4&index=6,
Texas A&M University School of Public Health [Public Health],Other (please specify):,Public Health,Patricia Robinson,979-436-9382,pcrobinson@tamu.edu,"1266 TAMU, College Station, TX 77843",https://public-health.tamu.edu/,Kerry Noack,noack@tamu.edu,"Facebook:  https://www.facebook.com/TAMUpublichealth 
Instagram:  https://www.instagram.com/tamupublichealth/
Twitter: https://twitter.com/TAMU_SPH",Zoom or Teams Link (for your virtual tabling),https://tamu.zoom.us/j/96291524888,,
