Institution_Name,Area,Other,Primary_Contact_Name,Primary_Contact_Phone_Number,Primary_Contact_Email,Mailing_Address,website,Secondary_Contact_Name,Secondary_Contact_Email,Social_Media_Handles,Zoom_Team_Link,Zoom_Teams_Link,Video_Link,special_needs_or_requests
Rocky Mountain University of Health Professions,"Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences,Other (please specify):","Health & Wellness Coaching, Counseling (Mental Health & School),",Jeffrey Tolley,8017346851,jeff.tolley@rm.edu,122 E 1700 S Bldg C,www.rm.edu,,,,"Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://rmuohp.zoom.us/j/92746416481,https://www.youtube.com/watch?v=xgnU9AEa8L4&t=162s,
"School of Health Professions, University of Texas Medical Branch at Galveston","Clinical Laboratory Science,Occupational Therapy,Physical Therapy,Other (please specify):",Respiratory Care and Nutrition and Metabolism,Michelle Conley,409-772-3006,maconley@utmb.edu,"UTMB School of Health Professions 301 University Blvd. Galveston, TX  77555-1136",https://shp.utmb.edu/,,,"Facebook https://www.facebook.com/SHPUTMB, Twitter @SHPUTMB. Instagram shputmb","Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://zoom.us/j/8072741972?pwd=aUFCQ3FwdHlOTEgvcmFLUW50QmRjZz09 ,Will send video after the holiday break., Zoom Meeting Info Meeting ID: 807 274 1972 Passcode: 722486
Simmons University,"Nursing,Physical Therapy,Other (please specify):",Nutrition and Health Promotion/Dietetic Internship,Brett DiMarzo,6175212651,brett.dimarzo@simmons.edu,"Simmons University, 300 The Fenway, Boston MA 02115",https://www.simmons.edu/,Alyssa Porydzy,alyssa.porydzy@simmons.edu,"https://www.facebook.com/SimmonsUniversity
@SimmonsUniv
https://www.youtube.com/simmonsuniversity
https://www.instagram.com/simmonsuniversity/
",,https://simmons.zoom.us/j/99579996191,https://www.youtube.com/watch?v=6kHEy16N_pw&list=PL9J_5cnIN2Z_yfo6SMOsrp4PPlBrBqkd4&index=6,
Texas Tech Army ROTC,"Clinical Laboratory Science,Dental,Medicine,Nursing,Occupational Therapy,Optometry,Pharmacy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences,Other (please specify):",All Health Professions,Mr. George Hampton,806-834-5018,george.hampton@ttu.edu,3003 15th Street,"https""//www.depts.ttu.edu/armyrotc",Kelly Simpson,806-834-5018,https://www.facebook.com/TexasTechROTC,,,,N/A
Texas Tech University Health Sciences Center School of Health Professions,"Clinical Laboratory Science,Occupational Therapy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences",,Breanna Case,8067433220,breanna.case@ttuhsc.edu,"3601 4th St Lubbock, TX 79430",https://www.ttuhsc.edu/health-professions/,Liza Tijerina,liza.tijerina@ttuhsc.edu,"https://www.facebook.com/ttuhsc.shp/  
https://www.instagram.com/ttuhsc_shp/ 
https://twitter.com/ttuhsc_shp  
https://www.linkedin.com/company/ttuhsc-school-of-health-professions ","Zoom or Teams Link (for your virtual tabling),Introductory Video Link", https://ttuhscshp.zoom.us/j/94550171116,https://youtu.be/xJ_6cgFPyqU,
United States Air Force Health Professions Recruiting ,"Dental,Medicine,Nursing,Occupational Therapy,Optometry,Pharmacy,Physical Therapy,Physician Assistant",,TSgt Ashley Hicks ,7204027973,ashley.hicks@us.af.mil,5350 S roslyn st greenwood village CO 80111,Airforce.com,,,,,https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.zoomgov.com%2Fj%2F16155673289&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7Ccecca26454974ca418ad08d8b28dffcf%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637455670282770028%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=i6fqITkTDtgT2eWF%2FsAIHCa6x3X3zJ%2F78W9%2FnSsbpCg%3D&amp;reserved=0,,NA
United States Navy Medicine,"Clinical Laboratory Science,Dental,Medicine,Nursing,Optometry,Pharmacy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences",,Lieutenant Richard Hearn,806-744-3944  Ext: 24,richard.hearn@navy.mil,"1126 Slide Road Suite 100, Lubbock, Texas, 79416",https://www.med.navy.mil/Pages/Accessions.aspx,Chief Craig Ward,craig.a.ward@navy.mil,,,https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fzoom.us%2Fj%2F92584273143%3Fpwd%3DVVY3TVRGUWdpeDBLMDlPcGxoQ1dlZz09&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7C5aa68623dc194b2fd65808d8b8138f93%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637461741441074595%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=5xgJNr8iIj1YC65R5Nafc%2BlFIVTQj9%2Bb0t77uY06BdI%3D&amp;reserved=0<https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fno-click.mil%2F%3Fhttps%3A%2F%2Fnam04.safelinks.protection.outlook.com%2F%3Furl%3Dhttps%253A%252F%252Fzoom.us%252Fj%252F92584273143%253Fpwd%253DVVY3TVRGUWdpeDBLMDlPcGxoQ1dlZz09%26amp%3Bdata%3D04%257C01%257CAmy.Perez%2540ttu.edu%257Ccbea67399bae4b15121208d8b72c04d9%257C178a51bf8b2049ffb65556245d5c173c%257C0%257C0%257C637460746990519594%257CUnknown%257CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%253D%257C1000%26amp%3Bsdata%3DFJGtVJOlmaqxDwmo4PyH7trniDJ%252BLEUhgTEhTSEDmVg%253D%26amp%3Breserved%3D0&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7C5aa68623dc194b2fd65808d8b8138f93%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637461741441074595%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=B3FvJUDR6CrAf3byU5KFMUQeCwmcwtb4UB4ldAj3760%3D&amp;reserved=0,,Zoom has a pw: 2UvkfR
University of North Texas Health Science Center,"Medicine, Graduate School of Biomedical Science, Pharmacy, Physical Therapy, Physician Assistant Studies, and Public Health",,Patrick Middleton,817-735-2226,patrick.middleton@unthsc.edu,"3500 Camp Bowie Blvd., SSC-180",www.unthsc.edu,Rebeca Perfecto,Rebeca.Perfecto@unthsc.edu,,,https://unthsc.zoom.us/j/86119521583,https://www.youtube.com/watch?v=4r2E6YE9D6o&feature=youtu.be,No
University of St. Augustine,"Occupational Therapy,Physical Therapy,Speech, Language and Hearing Sciences",,Parlene Lopez,7604105364,Plopez@usa.edu,700 Windy Point Ln.,usa.edu,Samuel Wheeler,swheeler@usa.edu,"https://www.facebook.com/universityofstaugustine/, https://www.instagram.com/uofstaug/?hl=en, https://twitter.com/uofstaug?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor",,https://zoom.us/j/93552750301,,no
University of Texas Health San Antonio School of Health Professions,"Clinical Laboratory Science,Occupational Therapy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences",,Kirk Fallin,2105676220,fallin@uthscsa.edu,"7703 Floyd Curl Drive, Mail Code 7717, San Antonio, Texas 78229-3900",https://www.uthscsa.edu/,Melina Benavidez,benavidezm2@uthscsa.edu,"https://www.facebook.com/UTHealthSASHP
instagram: @uthealthsa_shp",,,,No
